city,centroid_lat,centroid_lon,scale
"Austin, TX",30.302346,-97.736521,90000
"Baltimore, MD",39.169732,-76.649533,45000
"Birmingham, AL",33.430651,-86.800929,70000
"Brownsville, TX",25.924894,-97.470316,120000
"Chicago, IL",41.87897,-87.66063,30000
"Cleveland, OH",41.496551,-81.55133,70000
"Des Moines, IA",41.574349,-93.61043,70000
"Durham, NC",35.975835,-78.915629,100000
"Fresno, CA",36.75156,-119.800612,100000
"Green Bay, WI",44.517447,-87.954553,100000
"Los Angeles, CA",34.05513,-118.25703,30000
"Memphis, TN",35.112125,-89.954644,70000
"Milwaukee, WI",43.063146,-88.048334,70000
"Minneapolis / St.Paul, MN",44.95304,-93.29013,70000
"New Bedford, MA",41.667736,-70.945702,100000
"New Haven, CT",41.408658,-72.725297,100000
"New York, NY",40.68295,-73.9708,99000
"Paterson, NJ",40.913211,-74.157863,300000
"Philadelphia, PA",39.990821,-75.288828,50000
"Phoenix, AZ",33.55503,-112.070892,70000
"Pittsburgh, PA",40.450509,-79.936305,80000
"Portland, ME",43.679368,-70.296138,70000
"Portland, OR",45.533467,-122.650095,70000
"Salt Lake City, UT",40.653201,-111.933984,76000
"Sonoma County, CA",38.481242,-122.932161,70000
"St. Louis, MO",38.635957,-90.339861,70000
"Tampa, FL",27.935231,-82.495716,70000
"Virginia Beach/ Williamsburg, VA",36.9070635589,-76.4216554762,60000
"Washington, DC",38.912097,-77.214683,70000
"Woodbine, IA",41.7356,-95.70548,300000
